블록,horizon,test_n,train_n,corr_test(독립),corr_train(참고용),test_부호,test_5분위_단조
블록1 (2022-09-01~2023-04-25),20거래일(약1개월),360,1080,-0.064,0.066,-,True
블록1 (2022-09-01~2023-04-25),60거래일(약3개월),360,1080,-0.138,0.183,-,False
블록1 (2022-09-01~2023-04-25),120거래일(약6개월),360,1080,-0.061,0.175,-,False
블록2 (2023-05-25~2024-01-19),20거래일(약1개월),360,1080,0.009,0.039,+,False
블록2 (2023-05-25~2024-01-19),60거래일(약3개월),360,1080,0.284,0.069,+,False
블록2 (2023-05-25~2024-01-19),120거래일(약6개월),360,1080,0.337,0.056,+,True
블록3 (2024-02-20~2024-10-18),20거래일(약1개월),360,1080,0.167,-0.014,+,True
블록3 (2024-02-20~2024-10-18),60거래일(약3개월),360,1080,0.274,0.061,+,True
블록3 (2024-02-20~2024-10-18),120거래일(약6개월),360,1080,0.32,0.056,+,True
블록4 (2024-11-15~2025-07-16),20거래일(약1개월),360,1080,0.077,0.058,+,False
블록4 (2024-11-15~2025-07-16),60거래일(약3개월),360,1080,0.125,0.17,+,True
블록4 (2024-11-15~2025-07-16),120거래일(약6개월),360,1080,0.145,0.237,+,False
