split_date,horizon,train_n,test_n,corr_train,corr_test,부호일치,train_5분위_단조,test_5분위_단조
2023-01-01,20거래일(약1개월),200,1240,-0.141,0.061,False,False,True
2023-01-01,60거래일(약3개월),200,1240,-0.281,0.167,False,False,True
2023-01-01,120거래일(약6개월),200,1240,-0.295,0.171,False,False,True
2023-07-01,20거래일(약1개월),440,1000,-0.05,0.068,False,False,True
2023-07-01,60거래일(약3개월),440,1000,-0.113,0.196,False,False,True
2023-07-01,120거래일(약6개월),440,1000,-0.032,0.19,False,False,True
2024-01-01,20거래일(약1개월),680,760,-0.031,0.105,False,False,False
2024-01-01,60거래일(약3개월),680,760,0.062,0.168,True,False,True
2024-01-01,120거래일(약6개월),680,760,0.147,0.141,True,True,True
2024-07-01,20거래일(약1개월),920,520,0.028,0.053,True,True,False
2024-07-01,60거래일(약3개월),920,520,0.13,0.141,True,True,True
2024-07-01,120거래일(약6개월),920,520,0.212,0.114,True,True,False
