ticker,date,score_100,score_nonlinear,20거래일(약1개월),60거래일(약3개월),120거래일(약6개월)
005930.KS,2022-09-01,19.6,95.9,-5.47945205479452,6.506849315068486,3.595890410958913
005930.KS,2022-10-04,28.5,92.0,7.971014492753614,2.53623188405796,13.949275362318849
005930.KS,2022-11-02,46.2,87.9,4.36241610738255,6.208053691275173,6.711409395973145
005930.KS,2022-11-30,54.2,86.1,-9.0032154340836,-2.733118971061088,10.61093247588425
005930.KS,2022-12-28,15.0,94.7,11.837455830388688,11.130742049469957,27.915194346289752
005930.KS,2023-01-30,43.2,86.5,-4.423380726698268,0.4739336492890933,11.216429699842024
005930.KS,2023-02-27,32.3,93.7,3.966942148760322,13.719008264462818,10.08264462809918
005930.KS,2023-03-28,41.5,94.8,1.11287758346581,15.103338632750395,10.969793322734487
005930.KS,2023-04-25,39.7,87.1,8.176100628930815,10.691823899371066,7.704402515723263
005930.KS,2023-05-25,59.7,87.4,5.232558139534893,-3.1976744186046457,5.813953488372103
005930.KS,2023-06-26,56.8,83.9,-2.7624309392265234,-3.5911602209944715,1.3812154696132506
005930.KS,2023-07-24,32.1,96.3,-5.397727272727271,-2.698863636363636,6.107954545454541
005930.KS,2023-08-22,15.2,96.1,4.804804804804808,9.30930930930931,10.06006006006006
005930.KS,2023-09-19,35.0,95.0,-1.862464183381085,5.157593123209159,10.17191977077363
005930.KS,2023-10-24,25.2,97.4,6.277372262773717,9.051094890510946,16.20437956204379
005930.KS,2023-11-21,52.1,90.7,0.8241758241758212,0.6868131868131844,7.692307692307687
005930.KS,2023-12-19,48.4,91.5,1.7711171662125436,4.768392370572205,10.626702997275196
005930.KS,2024-01-19,38.1,95.7,-1.8741633199464536,6.559571619812576,16.06425702811245
005930.KS,2024-02-20,22.1,97.4,4.9113233287858105,6.957708049113243,5.320600272851306
005930.KS,2024-03-20,50.3,86.0,3.5110533159947943,5.59167750325098,-13.784135240572173
005930.KS,2024-04-18,45.4,86.5,-1.5075376884422065,8.919597989949747,-25.628140703517587
005930.KS,2024-05-21,22.8,96.5,3.571428571428581,-1.530612244897955,-31.760204081632647
005930.KS,2024-06-19,42.9,93.4,6.773399014778314,-18.349753694581285,-30.91133004926109
005930.KS,2024-07-17,58.2,77.1,-10.957324106113033,-31.71856978085352,-38.06228373702422
005930.KS,2024-08-14,15.8,94.5,-14.119170984455954,-30.699481865284973,-26.29533678756477
005930.KS,2024-09-12,21.9,91.8,-10.708898944193058,-15.384615384615383,-11.764705882352944
005930.KS,2024-10-18,5.8,91.8,-9.628378378378375,-9.290540540540537,-7.601351351351349
005930.KS,2024-11-15,14.9,90.6,4.859813084112141,6.355140186915897,4.299065420560755
005930.KS,2024-12-13,23.3,94.4,-4.278074866310155,4.278074866310155,6.595365418894827
005930.KS,2025-01-15,14.1,92.3,5.959031657355673,1.862197392923659,20.484171322160137
005930.KS,2025-02-18,43.1,92.4,2.811950790861162,-1.9332161687170448,26.362038664323386
005930.KS,2025-03-19,48.4,89.8,-6.495726495726495,2.2222222222222143,25.47008547008547
005930.KS,2025-04-16,18.8,93.2,2.010968921389389,18.281535648994502,78.9762340036563
005930.KS,2025-05-19,21.7,94.6,7.168458781362008,28.853046594982068,74.19354838709677
005930.KS,2025-06-18,44.8,91.0,8.193979933110374,22.74247491638797,82.10702341137124
005930.KS,2025-07-16,70.0,71.9,11.128284389489965,51.31375579598145,116.84698608964452
000660.KS,2022-09-01,14.8,94.5,-6.70995670995671,-8.00865800865801,-2.5974025974025983
000660.KS,2022-10-04,27.4,91.3,-1.972157772621808,-11.832946635730856,2.552204176334105
000660.KS,2022-11-02,16.5,92.3,0.591715976331364,7.337278106508882,1.183431952662728
000660.KS,2022-11-30,21.3,94.0,-10.588235294117643,5.882352941176472,21.76470588235293
000660.KS,2022-12-28,6.8,92.1,19.34210526315789,16.315789473684216,49.3421052631579
000660.KS,2023-01-30,51.3,76.1,-0.7717750826901848,-5.733186328555673,25.689084895259096
000660.KS,2023-02-27,49.8,82.9,-1.777777777777778,14.999999999999991,29.44444444444445
000660.KS,2023-03-28,30.7,93.1,-3.280542986425339,28.39366515837105,34.84162895927603
000660.KS,2023-04-25,19.0,93.1,21.052631578947366,33.33333333333333,48.30409356725147
000660.KS,2023-05-25,81.5,65.9,9.661835748792267,12.56038647342994,27.53623188405796
000660.KS,2023-06-26,56.2,68.9,0.4405286343612369,5.022026431718052,21.762114537444944
000660.KS,2023-07-24,43.7,84.7,2.1929824561403466,11.228070175438589,23.94736842105263
000660.KS,2023-08-22,27.3,94.7,2.3175965665235942,13.30472103004292,28.412017167381972
000660.KS,2023-09-19,39.9,93.9,6.375838926174504,15.939597315436238,31.291946308724828
000660.KS,2023-10-24,46.2,89.4,4.100946372239744,11.435331230283907,43.76971608832807
000660.KS,2023-11-21,49.8,84.3,4.696969696969688,13.33333333333333,45.45454545454546
000660.KS,2023-12-19,57.1,84.0,2.243125904486254,13.241678726483364,68.95803183791607
000660.KS,2024-01-19,51.5,91.1,5.874026893135165,29.016277423920744,56.05095541401275
000660.KS,2024-02-20,50.5,84.3,4.612299465240644,28.34224598930481,24.79946524064172
000660.KS,2024-03-20,50.5,74.1,16.485623003194895,49.20127795527157,7.859424920127789
000660.KS,2024-04-18,61.9,70.9,5.32089961601756,20.95447065277016,2.742731760833794
000660.KS,2024-05-21,51.6,86.3,21.614583333333325,-2.760416666666665,-7.187500000000002
000660.KS,2024-06-19,72.0,66.6,-5.567451820128477,-27.708779443254816,-24.839400428265524
000660.KS,2024-07-17,44.8,77.1,-15.32879818594104,-15.05668934240363,-10.113378684807262
000660.KS,2024-08-14,12.1,92.3,-9.58757364756293,-4.552758435993576,12.479914301017669
000660.KS,2024-09-12,23.8,90.0,10.95971563981042,3.969194312796209,21.741706161137444
000660.KS,2024-10-18,41.4,83.4,-4.858515750133474,5.819540843566462,-7.1009076348104605
000660.KS,2024-11-15,24.4,92.1,-1.5151515151515138,17.84511784511784,11.896745230078556
000660.KS,2024-12-13,24.0,94.2,12.93447293447294,17.0940170940171,40.45584045584045
000660.KS,2025-01-15,61.4,75.8,5.953582240161448,-12.209889001009078,49.344096871846624
000660.KS,2025-02-18,46.3,80.8,-2.1428571428571463,-5.047619047619046,32.38095238095238
000660.KS,2025-03-19,36.5,94.1,-15.328467153284675,19.95133819951338,49.39172749391727
000660.KS,2025-04-16,10.6,91.6,14.59770114942529,70.11494252873563,167.52873563218392
000660.KS,2025-05-19,45.8,88.8,23.62086258776328,39.41825476429288,180.84252758274823
000660.KS,2025-06-18,71.8,67.8,20.08113590263692,24.54361054766734,131.64300202839758
000660.KS,2025-07-16,66.4,66.9,-6.081081081081086,57.26351351351351,150.67567567567565
373220.KS,2022-09-01,63.9,72.7,-3.99568034557235,26.78185745140389,9.719222462203025
373220.KS,2022-10-04,28.5,94.3,28.00899887514061,-1.7997750281214864,29.80877390326209
373220.KS,2022-11-02,80.0,63.8,3.1634446397188043,-10.544815465729352,-3.1634446397188043
373220.KS,2022-11-30,71.3,74.3,-25.638841567291315,-13.458262350936966,-0.6814310051107331
373220.KS,2022-12-28,3.6,90.7,16.6093928980527,32.18785796105384,29.209621993127158
373220.KS,2023-01-30,26.6,92.1,-0.1964636542239661,8.251473477406691,17.288801571709243
373220.KS,2023-02-27,43.0,91.0,13.58267716535433,14.763779527559052,6.102362204724399
373220.KS,2023-03-28,68.9,70.2,-4.506065857885611,-2.253032928942811,-13.951473136915082
373220.KS,2023-04-25,26.0,90.0,5.807622504537213,8.34845735027223,-18.602540834845737
373220.KS,2023-05-25,32.2,95.4,-3.2590051457976,-7.547169811320753,-23.327615780445964
