ticker,date,score_100,sub_추세,sub_거래량,sub_모멘텀,sub_패턴점수,sub_리스크,20거래일(약1개월),60거래일(약3개월),120거래일(약6개월)
005930.KS,2022-09-01,19.6,32.2,27.6,32.7,25.8,-20.5,-5.47945205479452,6.506849315068486,3.595890410958913
005930.KS,2022-10-04,28.5,13.0,61.2,45.9,48.3,-25.8,7.971014492753614,2.53623188405796,13.949275362318847
005930.KS,2022-11-02,46.2,132.5,30.2,59.8,33.0,-24.4,4.36241610738255,6.208053691275173,6.711409395973145
005930.KS,2022-11-30,54.2,138.2,50.1,59.3,44.9,-21.4,-9.0032154340836,-2.733118971061088,10.61093247588425
005930.KS,2022-12-28,15.0,27.2,24.4,34.0,13.1,-23.9,11.837455830388688,11.130742049469955,27.915194346289752
005930.KS,2023-01-30,43.2,130.7,2.9,74.2,29.4,-21.4,-4.423380726698268,0.4739336492890933,11.216429699842024
005930.KS,2023-02-27,32.3,70.0,51.0,34.5,31.7,-25.9,3.966942148760322,13.719008264462818,10.08264462809918
005930.KS,2023-03-28,41.5,61.4,46.9,67.4,48.3,-16.3,1.11287758346581,15.103338632750397,10.969793322734489
005930.KS,2023-04-25,39.7,139.2,20.1,43.7,17.6,-21.9,8.176100628930815,10.691823899371066,7.704402515723263
005930.KS,2023-05-25,59.7,130.2,49.0,76.5,53.6,-10.8,5.232558139534893,-3.1976744186046457,5.813953488372103
005930.KS,2023-06-26,56.8,159.2,27.3,69.7,39.4,-11.7,-2.7624309392265234,-3.5911602209944715,1.3812154696132506
005930.KS,2023-07-24,32.1,82.1,30.0,40.6,19.6,-11.9,-5.397727272727271,-2.6988636363636354,6.107954545454541
005930.KS,2023-08-22,15.2,19.5,20.8,36.8,12.7,-13.9,4.8048048048048075,9.30930930930931,10.06006006006006
005930.KS,2023-09-19,35.0,80.8,30.2,55.5,29.5,-20.8,-1.862464183381085,5.157593123209159,10.17191977077363
005930.KS,2023-10-24,25.2,43.9,27.1,45.9,23.9,-14.8,6.277372262773717,9.051094890510946,16.20437956204379
005930.KS,2023-11-21,52.1,126.6,36.1,66.6,40.7,-9.5,0.8241758241758212,0.6868131868131844,7.692307692307687
005930.KS,2023-12-19,48.4,129.4,36.4,48.1,35.4,-7.3,1.7711171662125436,4.768392370572205,10.626702997275196
005930.KS,2024-01-19,38.1,59.5,48.7,62.2,36.0,-16.0,-1.8741633199464536,6.559571619812576,16.06425702811245
005930.KS,2024-02-20,22.1,43.5,24.1,34.7,20.4,-12.3,4.9113233287858105,6.957708049113243,5.320600272851306
005930.KS,2024-03-20,50.3,35.6,90.0,66.7,74.3,-15.0,3.5110533159947943,5.59167750325098,-13.784135240572171
005930.KS,2024-04-18,45.4,147.4,24.2,55.7,14.2,-14.7,-1.5075376884422065,8.919597989949747,-25.628140703517587
005930.KS,2024-05-21,22.8,46.9,23.5,43.7,18.7,-18.6,3.571428571428581,-1.5306122448979553,-31.760204081632647
005930.KS,2024-06-19,42.9,53.0,50.4,64.0,63.8,-16.7,6.773399014778314,-18.349753694581285,-30.91133004926109
005930.KS,2024-07-17,58.2,186.5,27.5,65.1,26.4,-14.4,-10.957324106113031,-31.71856978085352,-38.06228373702422
005930.KS,2024-08-14,15.8,19.1,26.0,37.0,23.2,-26.4,-14.119170984455954,-30.699481865284973,-26.29533678756477
005930.KS,2024-09-12,21.9,19.7,62.2,16.8,33.2,-22.4,-10.708898944193058,-15.384615384615385,-11.764705882352944
005930.KS,2024-10-18,5.8,13.0,14.8,18.6,10.1,-27.7,-9.628378378378377,-9.290540540540537,-7.601351351351349
005930.KS,2024-11-15,14.9,14.7,51.3,19.8,24.5,-36.0,4.859813084112141,6.355140186915897,4.299065420560755
005930.KS,2024-12-13,23.3,31.1,30.4,57.0,28.4,-30.2,-4.278074866310155,4.278074866310155,6.595365418894827
005930.KS,2025-01-15,14.1,41.9,25.4,29.1,11.9,-37.8,5.959031657355673,1.862197392923659,20.484171322160137
005930.KS,2025-02-18,43.1,72.9,48.5,63.5,55.7,-24.9,2.811950790861162,-1.9332161687170446,26.362038664323386
005930.KS,2025-03-19,48.4,85.4,67.3,64.1,50.9,-25.9,-6.495726495726495,2.2222222222222143,25.47008547008547
005930.KS,2025-04-16,18.8,49.7,19.4,45.0,16.4,-36.7,2.010968921389389,18.281535648994506,78.9762340036563
005930.KS,2025-05-19,21.7,55.3,21.2,42.3,18.8,-29.0,7.168458781362008,28.853046594982068,74.19354838709677
005930.KS,2025-06-18,44.8,109.0,47.1,53.4,38.2,-23.8,8.193979933110374,22.742474916387966,82.10702341137124
005930.KS,2025-07-16,70.0,183.5,51.5,77.4,62.6,-25.1,11.128284389489963,51.31375579598145,116.84698608964452
000660.KS,2022-09-01,14.8,28.5,18.9,31.4,21.9,-26.5,-6.70995670995671,-8.00865800865801,-2.5974025974025983
000660.KS,2022-10-04,27.4,14.7,67.9,44.5,37.8,-28.1,-1.9721577726218076,-11.832946635730856,2.5522041763341052
000660.KS,2022-11-02,16.5,60.4,18.9,25.9,11.1,-33.9,0.591715976331364,7.337278106508882,1.183431952662728
000660.KS,2022-11-30,21.3,29.1,42.4,39.8,25.3,-30.3,-10.588235294117643,5.882352941176472,21.76470588235293
000660.KS,2022-12-28,6.8,13.0,16.2,26.5,7.2,-28.8,19.342105263157894,16.315789473684216,49.3421052631579
000660.KS,2023-01-30,51.3,164.4,3.7,91.1,26.1,-29.0,-0.7717750826901848,-5.733186328555673,25.689084895259096
000660.KS,2023-02-27,49.8,146.4,54.7,45.6,35.2,-33.0,-1.7777777777777781,14.999999999999991,29.44444444444445
000660.KS,2023-03-28,30.7,36.6,48.9,57.0,42.7,-31.9,-3.280542986425339,28.39366515837105,34.84162895927603
000660.KS,2023-04-25,19.0,63.0,15.5,33.7,15.0,-32.2,21.052631578947366,33.33333333333333,48.30409356725147
000660.KS,2023-05-25,81.5,165.0,84.3,97.5,83.7,-22.9,9.661835748792269,12.56038647342994,27.536231884057962
000660.KS,2023-06-26,56.2,200.0,17.5,77.1,15.0,-28.8,0.4405286343612369,5.022026431718052,21.762114537444944
000660.KS,2023-07-24,43.7,149.8,21.8,52.2,18.6,-23.7,2.1929824561403466,11.228070175438587,23.94736842105263
000660.KS,2023-08-22,27.3,48.6,29.1,64.5,20.3,-25.8,2.3175965665235942,13.30472103004292,28.412017167381975
000660.KS,2023-09-19,39.9,95.8,31.1,56.3,35.5,-19.1,6.375838926174504,15.939597315436238,31.291946308724828
000660.KS,2023-10-24,46.2,126.0,28.2,69.5,24.8,-17.6,4.100946372239744,11.435331230283907,43.76971608832807
000660.KS,2023-11-21,49.8,153.3,25.1,61.6,30.4,-21.3,4.696969696969688,13.33333333333333,45.45454545454546
000660.KS,2023-12-19,57.1,152.8,41.3,72.2,35.9,-16.5,2.243125904486254,13.241678726483364,68.95803183791607
000660.KS,2024-01-19,51.5,85.4,68.6,68.5,50.2,-15.3,5.874026893135165,29.016277423920744,56.05095541401275
000660.KS,2024-02-20,50.5,155.0,28.9,61.2,26.9,-19.5,4.6122994652406435,28.342245989304814,24.799465240641716
000660.KS,2024-03-20,50.5,187.5,22.5,59.9,10.4,-27.6,16.485623003194895,49.201277955271564,7.859424920127789
000660.KS,2024-04-18,61.9,195.0,31.7,83.2,24.5,-24.7,5.32089961601756,20.954470652770162,2.742731760833794
000660.KS,2024-05-21,51.6,136.7,30.8,73.7,38.6,-21.9,21.614583333333325,-2.760416666666665,-7.187500000000002
000660.KS,2024-06-19,72.0,200.0,42.7,100.0,38.6,-21.5,-5.567451820128477,-27.708779443254816,-24.839400428265524
000660.KS,2024-07-17,44.8,180.0,16.3,38.3,12.7,-23.5,-15.32879818594104,-15.05668934240363,-10.113378684807262
000660.KS,2024-08-14,12.1,13.0,24.6,37.2,22.8,-37.0,-9.58757364756293,-4.552758435993576,12.479914301017669
000660.KS,2024-09-12,23.8,23.0,62.3,31.2,41.5,-39.1,10.959715639810419,3.9691943127962093,21.741706161137444
000660.KS,2024-10-18,41.4,139.7,19.0,67.1,19.5,-38.4,-4.858515750133474,5.819540843566462,-7.1009076348104605
000660.KS,2024-11-15,24.4,79.2,31.8,32.5,11.2,-32.9,-1.5151515151515138,17.84511784511784,11.896745230078555
000660.KS,2024-12-13,24.0,29.1,34.5,49.3,38.0,-31.0,12.93447293447294,17.0940170940171,40.45584045584045
000660.KS,2025-01-15,61.4,171.0,48.9,78.8,40.4,-32.2,5.953582240161448,-12.209889001009078,49.344096871846624
000660.KS,2025-02-18,46.3,155.0,15.3,72.8,20.0,-31.4,-2.1428571428571463,-5.047619047619046,32.38095238095238
000660.KS,2025-03-19,36.5,80.2,39.4,55.2,32.6,-24.7,-15.328467153284675,19.95133819951338,49.39172749391727
000660.KS,2025-04-16,10.6,23.0,26.4,31.4,13.0,-40.6,14.59770114942529,70.11494252873563,167.52873563218392
000660.KS,2025-05-19,45.8,118.2,31.3,74.9,29.5,-24.9,23.62086258776328,39.41825476429288,180.84252758274823
000660.KS,2025-06-18,71.8,200.0,47.6,93.9,37.5,-20.1,20.081135902636916,24.54361054766734,131.64300202839758
000660.KS,2025-07-16,66.4,200.0,32.8,97.3,27.6,-25.9,-6.081081081081086,57.26351351351351,150.67567567567565
373220.KS,2022-09-01,63.9,200.0,32.7,69.6,31.8,-14.8,-3.99568034557235,26.78185745140389,9.719222462203025
373220.KS,2022-10-04,28.5,63.8,35.5,55.1,15.3,-27.3,28.008998875140612,-1.7997750281214864,29.808773903262086
373220.KS,2022-11-02,80.0,195.0,65.1,99.6,63.6,-23.4,3.1634446397188043,-10.544815465729352,-3.1634446397188043
373220.KS,2022-11-30,71.3,162.4,92.7,66.2,52.8,-17.4,-25.638841567291315,-13.458262350936966,-0.6814310051107331
373220.KS,2022-12-28,3.6,13.0,13.0,13.7,6.4,-28.2,16.6093928980527,32.18785796105384,29.209621993127154
373220.KS,2023-01-30,26.6,42.1,4.2,82.2,30.4,-25.8,-0.19646365422396617,8.251473477406691,17.288801571709243
373220.KS,2023-02-27,43.0,97.0,61.5,40.5,39.9,-23.7,13.58267716535433,14.763779527559052,6.102362204724399
373220.KS,2023-03-28,68.9,195.0,36.0,91.3,41.8,-19.6,-4.506065857885611,-2.253032928942811,-13.951473136915082
373220.KS,2023-04-25,26.0,105.1,12.7,34.2,3.7,-25.9,5.807622504537213,8.34845735027223,-18.602540834845737
373220.KS,2023-05-25,32.2,42.4,32.9,72.1,32.7,-19.1,-3.2590051457976,-7.547169811320753,-23.327615780445964
373220.KS,2023-06-26,23.5,64.6,17.5,39.0,14.0,-17.6,5.85106382978724,-11.968085106382976,-24.468085106382976
373220.KS,2023-07-24,53.1,35.8,86.8,74.1,85.2,-16.6,-9.715242881072028,-24.874371859296485,-35.76214405360134
373220.KS,2023-08-22,10.6,26.9,12.9,28.6,10.1,-25.7,-7.884972170686455,-17.06864564007421,-25.046382189239335
373220.KS,2023-09-19,11.7,23.2,21.2,26.1,11.7,-23.8,-9.667673716012082,-14.199395770392753,-17.92547834843907
373220.KS,2023-10-24,11.7,16.3,38.3,21.2,12.8,-30.2,-0.33444816053511683,-14.492753623188403,-15.94202898550725
373220.KS,2023-11-21,12.4,35.6,11.1,39.3,15.1,-39.3,-4.697986577181212,-9.619686800894856,-18.456375838926174
373220.KS,2023-12-19,20.6,32.3,41.9,31.5,23.9,-26.7,-9.97652582159625,-4.342723004694838,-19.483568075117375
373220.KS,2024-01-19,10.2,19.9,25.6,20.0,12.8,-27.2,5.34550195567145,-1.6949152542372836,-12.255541069100396
373220.KS,2024-02-20,26.6,37.0,37.2,55.2,33.6,-30.0,0.866336633663356,-9.777227722772274,-16.58415841584159
373220.KS,2024-03-20,31.4,96.2,23.4,42.4,23.0,-28.0,-7.484662576687118,-15.828220858895703,1.595092024539868
373220.KS,2024-04-18,15.1,26.3,28.9,32.5,15.1,-27.4,-3.3156498673740042,-10.742705570291777,3.05039787798409
373220.KS,2024-05-21,16.7,51.9,25.4,29.5,13.7,-37.1,-5.898491083676271,-7.5445816186556875,1.7832647462277196
373220.KS,2024-06-19,12.8,15.7,37.2,25.8,21.9,-36.8,-1.895043731778423,20.699708454810505,16.618075801749278
373220.KS,2024-07-17,14.0,54.5,18.7,31.1,7.9,-42.4,0.14858841010401136,15.453194650817226,4.457652303120363
373220.KS,2024-08-14,24.7,22.7,42.0,55.8,40.0,-37.0,22.8486646884273,10.089020771513347,4.00593471810089
373220.KS,2024-09-12,67.2,200.0,41.4,91.6,41.1,-38.3,-6.159420289855078,-3.3816425120772986,-20.169082125603865
373220.KS,2024-10-18,35.5,155.1,13.6,36.7,6.6,-34.3,-4.504504504504503,-9.523809523809524,-11.711711711711715
373220.KS,2024-11-15,23.4,88.3,16.8,41.9,15.7,-45.7,7.816711590296488,-5.525606469002698,-21.42857142857143
373220.KS,2024-12-13,27.2,30.4,47.5,65.4,28.7,-35.8,-12.124999999999996,-17.374999999999996,-27.0
373220.KS,2025-01-15,4.4,16.3,15.4,17.7,7.0,-34.3,-0.2844950213371278,-2.4182076813655806,-11.522048364153626
373220.KS,2025-02-18,18.6,30.0,36.2,42.9,22.4,-38.3,-5.706134094151216,-16.833095577746082,11.126961483594865
373220.KS,2025-03-19,12.3,28.1,34.6,24.9,11.9,-37.9,3.782148260211793,-11.649016641452349,5.9001512859303995
373220.KS,2025-04-16,24.6,44.1,27.4,71.8,26.3,-46.6,-15.014577259475214,-9.329446064139946,26.530612244897966
373220.KS,2025-05-19,5.8,25.5,20.2,11.2,11.4,-39.1,0.17152658662091813,33.619210977701556,58.833619210977695
373220.KS,2025-06-18,14.4,27.1,29.4,32.0,22.8,-39.1,6.506849315068486,19.863013698630127,52.56849315068492
373220.KS,2025-07-16,40.9,133.6,25.8,56.2,28.1,-39.4,25.2411575562701,39.54983922829582,25.2411575562701
