ticker,date,score_100,score_equal,score_risk2x,score_risk4x,score_risk_only,20거래일(약1개월),60거래일(약3개월),120거래일(약6개월)
005930.KS,2022-09-01,19.6,30.7,36.0,43.5,74.4,-5.47945205479452,6.506849315068486,3.595890410958913
005930.KS,2022-10-04,28.5,38.4,41.9,47.0,67.8,7.971014492753614,2.53623188405796,13.949275362318849
005930.KS,2022-11-02,46.2,53.6,55.6,58.3,69.5,4.36241610738255,6.208053691275173,6.711409395973145
005930.KS,2022-11-30,54.2,60.5,62.1,64.3,73.2,-9.0032154340836,-2.733118971061088,10.61093247588425
005930.KS,2022-12-28,15.0,26.7,32.0,39.4,70.1,11.837455830388688,11.130742049469957,27.915194346289752
005930.KS,2023-01-30,43.2,51.0,53.7,57.5,73.2,-4.423380726698268,0.4739336492890933,11.216429699842024
005930.KS,2023-02-27,32.3,41.6,44.8,49.2,67.6,3.966942148760322,13.719008264462818,10.08264462809918
005930.KS,2023-03-28,41.5,49.6,53.2,58.4,79.6,1.11287758346581,15.103338632750395,10.969793322734487
005930.KS,2023-04-25,39.7,48.1,51.0,55.2,72.6,8.176100628930815,10.691823899371066,7.704402515723263
005930.KS,2023-05-25,59.7,65.3,67.8,71.5,86.5,5.232558139534893,-3.1976744186046457,5.813953488372103
005930.KS,2023-06-26,56.8,62.7,65.5,69.4,85.4,-2.7624309392265234,-3.5911602209944715,1.3812154696132506
005930.KS,2023-07-24,32.1,41.4,46.7,54.2,85.1,-5.397727272727271,-2.698863636363636,6.107954545454541
005930.KS,2023-08-22,15.2,26.9,33.6,43.2,82.6,4.804804804804808,9.30930930930931,10.06006006006006
005930.KS,2023-09-19,35.0,44.0,47.6,52.8,74.0,-1.862464183381085,5.157593123209159,10.17191977077363
005930.KS,2023-10-24,25.2,35.5,41.1,49.0,81.5,6.277372262773717,9.051094890510946,16.20437956204379
005930.KS,2023-11-21,52.1,58.7,62.3,67.3,88.1,0.8241758241758212,0.6868131868131844,7.692307692307687
005930.KS,2023-12-19,48.4,55.5,59.8,65.9,90.9,1.7711171662125436,4.768392370572205,10.626702997275196
005930.KS,2024-01-19,38.1,46.6,50.7,56.4,80.0,-1.8741633199464536,6.559571619812576,16.06425702811245
005930.KS,2024-02-20,22.1,32.8,39.1,48.0,84.6,4.9113233287858105,6.957708049113243,5.320600272851306
005930.KS,2024-03-20,50.3,57.2,60.1,64.2,81.2,3.5110533159947943,5.59167750325098,-13.784135240572173
005930.KS,2024-04-18,45.4,52.9,56.4,61.3,81.6,-1.5075376884422065,8.919597989949747,-25.628140703517587
005930.KS,2024-05-21,22.8,33.5,38.7,46.1,76.8,3.571428571428581,-1.530612244897955,-31.760204081632647
005930.KS,2024-06-19,42.9,50.8,54.2,59.1,79.1,6.773399014778314,-18.349753694581285,-30.91133004926109
005930.KS,2024-07-17,58.2,64.0,66.2,69.3,82.0,-10.957324106113033,-31.71856978085352,-38.06228373702422
005930.KS,2024-08-14,15.8,27.4,32.2,39.0,67.0,-14.119170984455954,-30.699481865284973,-26.29533678756477
005930.KS,2024-09-12,21.9,32.7,37.4,44.2,72.0,-10.708898944193058,-15.384615384615383,-11.764705882352944
005930.KS,2024-10-18,5.8,18.8,24.4,32.4,65.4,-9.628378378378375,-9.290540540540537,-7.601351351351349
005930.KS,2024-11-15,14.9,26.6,30.0,34.9,55.0,4.859813084112141,6.355140186915897,4.299065420560755
005930.KS,2024-12-13,23.3,33.9,37.3,42.2,62.2,-4.278074866310155,4.278074866310155,6.595365418894827
005930.KS,2025-01-15,14.1,25.9,29.2,33.8,52.8,5.959031657355673,1.862197392923659,20.484171322160137
005930.KS,2025-02-18,43.1,51.0,53.2,56.2,68.9,2.811950790861162,-1.9332161687170448,26.362038664323386
005930.KS,2025-03-19,48.4,55.5,57.0,59.0,67.6,-6.495726495726495,2.2222222222222143,25.47008547008547
005930.KS,2025-04-16,18.8,30.0,32.9,37.0,54.1,2.010968921389389,18.281535648994502,78.9762340036563
005930.KS,2025-05-19,21.7,32.5,36.3,41.7,63.7,7.168458781362008,28.853046594982068,74.19354838709677
005930.KS,2025-06-18,44.8,52.4,54.6,57.6,70.2,8.193979933110374,22.74247491638797,82.10702341137124
005930.KS,2025-07-16,70.0,74.1,73.5,72.5,68.6,11.128284389489965,51.31375579598145,116.84698608964452
000660.KS,2022-09-01,14.8,26.6,31.5,38.4,66.9,-6.70995670995671,-8.00865800865801,-2.5974025974025983
000660.KS,2022-10-04,27.4,37.4,40.7,45.4,64.9,-1.972157772621808,-11.832946635730856,2.552204176334105
000660.KS,2022-11-02,16.5,28.0,31.6,36.7,57.6,0.591715976331364,7.337278106508882,1.183431952662728
000660.KS,2022-11-30,21.3,32.1,35.8,40.9,62.1,-10.588235294117643,5.882352941176472,21.76470588235293
000660.KS,2022-12-28,6.8,19.7,25.0,32.6,64.0,19.34210526315789,16.315789473684216,49.3421052631579
000660.KS,2023-01-30,51.3,58.0,58.7,59.7,63.7,-0.7717750826901848,-5.733186328555673,25.689084895259096
000660.KS,2023-02-27,49.8,56.7,57.0,57.3,58.8,-1.777777777777778,14.999999999999991,29.44444444444445
000660.KS,2023-03-28,30.7,40.2,42.6,46.0,60.1,-3.280542986425339,28.39366515837105,34.84162895927603
000660.KS,2023-04-25,19.0,30.2,33.8,38.8,59.7,21.052631578947366,33.33333333333333,48.30409356725147
000660.KS,2023-05-25,81.5,84.1,82.5,80.4,71.4,9.661835748792267,12.56038647342994,27.53623188405796
000660.KS,2023-06-26,56.2,62.2,62.4,62.7,64.0,0.4405286343612369,5.022026431718052,21.762114537444944
000660.KS,2023-07-24,43.7,51.5,53.8,57.0,70.4,2.1929824561403466,11.228070175438589,23.94736842105263
000660.KS,2023-08-22,27.3,37.4,41.0,46.3,67.8,2.3175965665235942,13.30472103004292,28.412017167381972
000660.KS,2023-09-19,39.9,48.2,51.6,56.4,76.1,6.375838926174504,15.939597315436238,31.291946308724828
000660.KS,2023-10-24,46.2,53.6,56.6,60.7,78.0,4.100946372239744,11.435331230283907,43.76971608832807
000660.KS,2023-11-21,49.8,56.7,58.8,61.6,73.4,4.696969696969688,13.33333333333333,45.45454545454546
000660.KS,2023-12-19,57.1,63.1,65.0,67.8,79.4,2.243125904486254,13.241678726483364,68.95803183791607
000660.KS,2024-01-19,51.5,58.2,60.9,64.8,80.9,5.874026893135165,29.016277423920744,56.05095541401275
000660.KS,2024-02-20,50.5,57.3,59.5,62.7,75.6,4.612299465240644,28.34224598930481,24.79946524064172
000660.KS,2024-03-20,50.5,57.4,58.3,59.7,65.5,16.485623003194895,49.20127795527157,7.859424920127789
000660.KS,2024-04-18,61.9,67.2,67.4,67.8,69.1,5.32089961601756,20.95447065277016,2.742731760833794
000660.KS,2024-05-21,51.6,58.3,60.0,62.5,72.6,21.614583333333325,-2.760416666666665,-7.187500000000002
000660.KS,2024-06-19,72.0,75.8,75.5,75.0,73.1,-5.567451820128477,-27.708779443254816,-24.839400428265524
000660.KS,2024-07-17,44.8,52.4,54.6,57.7,70.6,-15.32879818594104,-15.05668934240363,-10.113378684807262
000660.KS,2024-08-14,12.1,24.2,27.8,32.9,53.8,-9.58757364756293,-4.552758435993576,12.479914301017669
000660.KS,2024-09-12,23.8,34.3,36.3,39.2,51.1,10.95971563981042,3.969194312796209,21.741706161137444
000660.KS,2024-10-18,41.4,49.5,49.8,50.2,52.0,-4.858515750133474,5.819540843566462,-7.1009076348104605
000660.KS,2024-11-15,24.4,34.8,37.7,41.8,58.9,-1.5151515151515138,17.84511784511784,11.896745230078556
000660.KS,2024-12-13,24.0,34.5,37.7,42.3,61.3,12.93447293447294,17.0940170940171,40.45584045584045
000660.KS,2025-01-15,61.4,66.7,65.9,64.7,59.7,5.953582240161448,-12.209889001009078,49.344096871846624
000660.KS,2025-02-18,46.3,53.7,54.6,55.8,60.8,-2.1428571428571463,-5.047619047619046,32.38095238095238
000660.KS,2025-03-19,36.5,45.3,48.2,52.3,69.1,-15.328467153284675,19.95133819951338,49.39172749391727
000660.KS,2025-04-16,10.6,23.0,26.2,30.7,49.2,14.59770114942529,70.11494252873563,167.52873563218392
000660.KS,2025-05-19,45.8,53.3,55.2,57.8,68.9,23.62086258776328,39.41825476429288,180.84252758274823
000660.KS,2025-06-18,71.8,75.7,75.6,75.4,74.9,20.08113590263692,24.54361054766734,131.64300202839758
000660.KS,2025-07-16,66.4,71.0,70.6,70.0,67.6,-6.081081081081086,57.26351351351351,150.67567567567565
373220.KS,2022-09-01,63.9,68.8,70.4,72.5,81.5,-3.99568034557235,26.78185745140389,9.719222462203025
373220.KS,2022-10-04,28.5,38.3,41.7,46.4,65.9,28.00899887514061,-1.7997750281214864,29.80877390326209
373220.KS,2022-11-02,80.0,82.7,81.3,79.2,70.8,3.1634446397188043,-10.544815465729352,-3.1634446397188043
373220.KS,2022-11-30,71.3,75.3,75.7,76.2,78.2,-25.638841567291315,-13.458262350936966,-0.6814310051107331
373220.KS,2022-12-28,3.6,16.9,22.7,30.9,64.8,16.6093928980527,32.18785796105384,29.209621993127158
373220.KS,2023-01-30,26.6,36.7,40.5,45.8,67.8,-0.1964636542239661,8.251473477406691,17.288801571709243
373220.KS,2023-02-27,43.0,50.9,53.3,56.6,70.4,13.58267716535433,14.763779527559052,6.102362204724399
373220.KS,2023-03-28,68.9,73.2,73.5,73.9,75.5,-4.506065857885611,-2.253032928942811,-13.951473136915082
373220.KS,2023-04-25,26.0,36.2,40.0,45.4,67.6,5.807622504537213,8.34845735027223,-18.602540834845737
373220.KS,2023-05-25,32.2,41.6,45.7,51.7,76.1,-3.2590051457976,-7.547169811320753,-23.327615780445964
373220.KS,2023-06-26,23.5,34.1,39.4,46.9,78.0,5.85106382978724,-11.968085106382976,-24.468085106382976
373220.KS,2023-07-24,53.1,59.5,61.9,65.3,79.2,-9.715242881072028,-24.874371859296485,-35.76214405360134
373220.KS,2023-08-22,10.6,22.9,28.3,36.1,67.9,-7.884972170686455,-17.06864564007421,-25.04638218923933
373220.KS,2023-09-19,11.7,23.9,29.5,37.4,70.2,-9.667673716012082,-14.199395770392751,-17.92547834843907
373220.KS,2023-10-24,11.7,23.9,28.5,35.1,62.2,-0.3344481605351168,-14.492753623188404,-15.94202898550725
