서브점수,분위,표본수,점수범위,20거래일(약1개월)_평균(%),20거래일(약1개월)_승률(%),60거래일(약3개월)_평균(%),60거래일(약3개월)_승률(%),120거래일(약6개월)_평균(%),120거래일(약6개월)_승률(%)
추세,Q1,288,13.0~24.9,2.42,56.2,4.63,49.0,10.64,59.7
추세,Q2,288,25.0~42.3,1.18,50.3,4.4,59.0,7.46,60.8
추세,Q3,288,42.4~81.3,0.74,49.3,2.11,51.0,7.23,58.3
추세,Q4,288,81.4~148.2,0.13,43.4,1.99,49.3,8.16,56.6
추세,Q5,288,148.4~200.0,0.94,46.5,6.22,53.5,13.57,53.8
거래량,Q1,289,1.1~17.7,0.9,45.0,3.51,47.4,5.76,50.5
거래량,Q2,288,17.8~24.5,0.5,51.0,3.36,56.9,7.76,58.7
거래량,Q3,288,24.6~32.7,2.52,53.5,6.13,55.9,13.25,66.3
거래량,Q4,288,32.8~44.3,1.32,51.0,3.6,53.1,9.5,60.1
거래량,Q5,287,44.4~100.0,0.17,45.3,2.75,48.4,10.82,53.7
모멘텀,Q1,289,4.0~31.2,1.7,54.7,2.25,46.0,6.52,55.4
모멘텀,Q2,288,31.3~40.8,0.65,47.9,2.81,52.4,6.94,56.6
모멘텀,Q3,288,40.9~52.4,1.92,50.7,6.46,58.0,13.21,62.8
모멘텀,Q4,287,52.6~71.0,0.46,47.7,3.99,57.1,10.03,62.7
모멘텀,Q5,288,71.1~100.0,0.68,44.8,3.85,48.3,10.38,51.7
패턴점수,Q1,290,1.2~13.8,1.66,52.4,3.52,49.3,5.52,53.1
패턴점수,Q2,290,13.9~20.1,1.51,53.1,3.43,51.7,9.03,57.9
패턴점수,Q3,285,20.2~26.5,0.92,46.7,4.36,55.8,10.39,64.6
패턴점수,Q4,288,26.6~36.4,1.13,47.2,4.76,54.5,11.21,57.3
패턴점수,Q5,287,36.5~96.7,0.17,46.3,3.29,50.5,10.97,56.4
리스크,Q1,290,-59.6~-38.7,0.5,51.4,1.41,47.6,4.37,52.1
리스크,Q2,288,-38.6~-30.3,0.76,47.2,3.41,47.9,8.52,54.2
리스크,Q3,289,-30.2~-24.9,1.54,48.8,4.74,48.8,11.28,55.0
리스크,Q4,289,-24.8~-18.9,0.98,48.1,3.95,56.4,11.2,58.5
리스크,Q5,284,-18.8~-4.4,1.64,50.4,5.88,61.3,11.75,69.7
