종목명,종목코드,시장,현재가_num,52주최고,고점 / 하락률,PER,PBR,ROE,부채비율,배당수익률,데이터출처
한빛소프트,047080,코스닥,1009.0,1942.0,-48.043254376931,3.32,1.24,35.51,25.37313432835821,0.0,🌐 실시간 보완
매드업,000nan,코스닥,6750.0,6750.0,0.0,10.99,3.19,84.39,156.3953488372093,0.0,🌐 실시간 보완
코나아이,052400,코스닥,40650.0,72500.0,-43.93103448275862,6.65,2.21,32.62,116.78945327646375,2.952029520295203,🌐 실시간 보완
대한조선,439260,코스피,49300.0,116000.0,-57.49999999999999,6.68,1.66,32.19,40.80007323324789,0.5070993914807302,🌐 실시간 보완
HD현대마린엔진,071970,코스피,51000.0,118200.0,-56.852791878172596,9.64,3.46,41.36,66.63939455921457,0.0,🌐 실시간 보완
SGA솔루션즈,184230,코스닥,1796.0,6795.0,-73.56880058866814,1.6,0.98,45.29,186.7924528301887,0.8351893095768375,🌐 실시간 보완
선익시스템,171090,코스닥,61300.0,144000.0,-57.43055555555555,7.35,3.2,101.48,154.24200278164116,1.631321370309951,🌐 실시간 보완
우원개발,046940,코스닥,2860.0,6610.0,-56.732223903177,1.06,0.33,36.78,68.53860880663689,4.195804195804196,🌐 실시간 보완
앤씨앤,092600,코스닥,1824.0,9735.0,-81.26348228043143,0.67,0.24,43.8,54.987212276214834,0.0,🌐 실시간 보완
레메디,387690,코스닥,8480.0,34650.0,-75.52669552669553,10.91,3.91,58.11,157.65765765765767,0.0,🌐 실시간 보완
나래나노텍,137080,코스닥,5070.0,6240.0,-18.75,0.98,0.43,41.46,70.8512467755804,0.0,🌐 실시간 보완
SAMG엔터,419530,코스닥,27700.0,86100.0,-67.8281068524971,8.99,3.22,54.69,62.70983213429256,0.0,🌐 실시간 보완
에스엠,041510,코스닥,73000.0,155100.0,-52.93359123146357,12.71,1.67,41.65,47.76624714800913,2.219178082191781,🌐 실시간 보완
베셀,177350,코스닥,695.0,1871.0,-62.854088722608225,0.76,0.34,56.27,41.404358353510894,0.0,🌐 실시간 보완
예림당,036000,코스닥,2890.0,4035.0,-28.376703841387858,0.48,0.26,66.78,17.55277560594214,0.0,🌐 실시간 보완
티에이치엔,019180,코스피,5870.0,10270.0,-42.843232716650434,1.3,0.43,36.85,171.04332449160034,2.0442930153321974,🌐 실시간 보완
HLB제넥스,187420,코스닥,1498.0,3680.0,-59.29347826086957,2.04,1.12,69.85,148.2632541133455,0.0,🌐 실시간 보완
솔브레인홀딩스,036830,코스닥,31950.0,80800.0,-60.457920792079214,1.34,0.37,32.06,36.51673855001027,1.5649452269170578,🌐 실시간 보완
화승코퍼레이션,013520,코스피,2590.0,4000.0,-35.25,1.72,0.41,31.51,194.38738953904945,2.8957528957528957,🌐 실시간 보완
